Date	GDP
1959-03-31	
1959-06-30	0.0223011654137224
1959-09-30	0.0007053545903907832
1959-12-31	0.0028448401553582414
1960-03-31	0.0222282545720347
1960-06-30	-0.005405316047374598
1960-09-30	0.004882275074081122
1960-12-30	-0.012917100994503272
1961-03-31	0.006726372552227744
1961-06-30	0.016831888319874366
1961-09-29	0.019013953623090885
1961-12-29	0.019421163010674647
1962-03-30	0.017679284506520787
1962-06-29	0.008996052139481847
1962-09-28	0.012210280666275608
1962-12-31	0.003283618779040154
1963-03-29	0.010856596627299098
1963-06-28	0.011158723747559662
1963-09-30	0.0217461732624038
1963-12-31	0.006534627107777524
1964-03-31	0.02086335960846064
1964-06-30	0.010828496538410448
1964-09-30	0.015502223864602982
1964-12-31	0.0030839582907535856
1965-03-31	0.023909397464766613
1965-06-30	0.012553852100527507
1965-09-30	0.021988983337198675
1965-12-31	0.02277898243561971
1966-03-31	0.024050735987845684
1966-06-30	0.003410198277801868
1966-09-30	0.008433389310329886
1966-12-30	0.008170600632515956
1967-03-31	0.008816545656326724
1967-06-30	0.0006127903318891015
1967-09-29	0.009416732251887439
1967-12-29	0.007511886275617385
1968-03-29	0.020189877096207454
1968-06-28	0.01656995243739523
1968-09-30	0.0077196830592374255
1968-12-31	0.00392548560109951
1969-03-31	0.015529938909693897
1969-06-30	0.00303534189183452
1969-09-30	0.006583423684816125
1969-12-31	-0.004888876983173418
1970-03-31	-0.0014858102820394237
1970-06-30	0.0014182937561315612
1970-09-30	0.009173304592355436
1970-12-31	-0.010774215023232614
1971-03-31	0.026797642186231485
1971-06-30	0.005396612852155869
1971-09-30	0.008195991761638766
1971-12-31	0.00235506304896127
1972-03-31	0.01822254515561106
1972-06-30	0.02244396289705719
1972-09-29	0.009399504800111202
1972-12-29	0.016605942335893076
1973-03-30	0.024446790931971663
1973-06-29	0.01082779259940203
1973-09-28	-0.005272862500913078
1973-12-31	0.00944739294992658
1974-03-29	-0.008634899413760166
1974-06-28	0.002374012075577525
1974-09-30	-0.009496375966994819
1974-12-31	-0.0038889600397045143
1975-03-31	-0.012247554798305416
1975-06-30	0.007119955018017876
1975-09-30	0.016971682453014836
1975-12-31	0.01337539083089645
1976-03-31	0.02223848290055308
1976-06-30	0.007310220874584772
1976-09-30	0.005472058583738004
1976-12-31	0.007222365595520586
1977-03-31	0.01174558572639306
1977-06-30	0.019254566135376905
1977-09-30	0.017882706004289872
1977-12-30	2.1857480358988823e-05
1978-03-31	0.003186549967013619
1978-06-30	0.03791476642717839
1978-09-29	0.010004954382180742
1978-12-29	0.013351896032720134
1979-03-30	0.0017962586370376954
1979-06-29	0.0010686271278252946
1979-09-28	0.007401257674827022
1979-12-31	0.0024976286698166206
1980-03-31	0.0031402549893932985
1980-06-30	-0.020819960680993788
1980-09-30	-0.0011891779649300105
1980-12-31	0.01847749091884232
1981-03-31	0.019404797789528416
1981-06-30	-0.007438231309691901
1981-09-30	0.011904116121773
1981-12-31	-0.010955433077974419
1982-03-31	-0.015657384389408335
1982-06-30	0.004551610838737119
1982-09-30	-0.0038303190571546963
1982-12-31	0.00039938297478414597
1983-03-31	0.013092395101612198
1983-06-30	0.022501065971763268
1983-09-30	0.0197934536690223
1983-12-30	0.020647539662498104
1984-03-30	0.019359100413083752
1984-06-29	0.01713036058495021
1984-09-28	0.009594461879483873
1984-12-31	0.008175064379770447
1985-03-29	0.009644069113885934
1985-06-28	0.008766128508224114
1985-09-30	0.015155781366662069
1985-12-31	0.00740578281411608
1986-03-31	0.00929194295061464
1986-06-30	0.004493661986415987
1986-09-30	0.00952442716350177
1986-12-31	0.0053554909062061284
1987-03-31	0.0074225806630146
1987-06-30	0.010730643321123168
1987-09-30	0.008638251201789515
1987-12-31	0.01702461627098195
1988-03-31	0.005153240888464694
1988-06-30	0.013053438137465179
1988-09-30	0.0058421843024127895
1988-12-30	0.013237008491937985
1989-03-31	0.010114650755468801
1989-06-30	0.007603675219153061
1989-09-29	0.007381459808279089
1989-12-29	0.0019685708353236464
1990-03-30	0.010868675539921213
1990-06-29	0.003622548545383353
1990-09-28	0.0006649032244929742
1990-12-31	-0.009145639569805297
1991-03-29	-0.004689655103108592
1991-06-28	0.007766939458313971
1991-09-30	0.005040658815003596
1991-12-31	0.0034795782624339466
1992-03-31	0.011900483258799
1992-06-30	0.010784840018335018
1992-09-30	0.009832573312726467
1992-12-31	0.010374793937797833
1993-03-31	0.0016683983685616965
1993-06-30	0.005804257194370166
1993-09-30	0.0047602180362460444
1993-12-31	0.013509095487101774
1994-03-31	0.009656355370630365
1994-06-30	0.013460003872468818
1994-09-30	0.005828342328298319
1994-12-30	0.011390068830484879
1995-03-31	0.0035406790935308408
1995-06-30	0.002978616504895726
1995-09-29	0.008470671033865784
1995-12-29	0.0067674146619900455
1996-03-29	0.007461804652624693
1996-06-28	0.01654127513224779
1996-09-30	0.008930116907036378
1996-12-31	0.010330433348839207
1997-03-31	0.006434859580512153
1997-06-30	0.016483183888663433
1997-09-30	0.01243020958196972
1997-12-31	0.008550773341241324
1998-03-31	0.0099441466859016
1998-06-30	0.009215610585627587
1998-09-30	0.012449823849694397
1998-12-31	0.016032693766730333
1999-03-31	0.00939400399931678
1999-06-30	0.00831533189937339
1999-09-30	0.013143514598521477
1999-12-31	0.01629431373748602
2000-03-31	0.003637848608937233
2000-06-30	0.018042088342381746
2000-09-29	0.0009972438695928787
2000-12-29	0.0059260239353520205
2001-03-30	-0.003247477383501618
2001-06-29	0.006194665527829102
2001-09-28	-0.004011525580892794
2001-12-31	0.0027693055163329205
