Date,ARX,VAR,ESN_A, ESN_B,ESN_C,ESN_D,ESN_E
2007-12-31,0.006040729784057571,0.0073025480484538215,0.00686707936907441,0.0071716060339820165,0.007346599782916658,0.008239563980792581,0.007049148329836028
2008-03-31,0.0019205750735134498,0.0064997926889704865,0.006708722607540267,0.006691551510368737,0.006904753005528111,0.008266238168649125,0.006495184214565389
2008-06-30,0.0006781846132491123,0.004330873181890639,0.004450941043074818,0.004184957750982793,0.004924269505234563,0.00822726670511028,0.0038412521675569135
2008-09-30,-0.018403661422749067,0.0013518726222054639,0.00421955117926646,0.004501592428385739,0.004803001256756018,0.008142147642338627,0.004255938128918032
2008-12-31,-0.013000635620167483,-0.015300365600699993,-0.0004902206885945976,-0.001706693287250146,-0.003162090418418556,0.008135392655067856,-0.002499605857299827
2009-03-31,-0.011477220530936156,-0.008776442534106109,-0.000936857492927599,-0.0012310755643057478,-0.004051018999039197,0.007995489016504407,-0.0031439714029621313
2009-06-30,-2.876601814642821e-05,-0.008226656122853067,-0.0012263695881877222,-7.958425480918997e-05,-0.0020517350385719536,0.008003759592487525,-0.0017793892757428879
2009-09-30,0.014636542205943282,0.001768158619719434,0.003401130867017086,0.004529449402737881,0.001931386904316032,0.007965299681515665,0.0029379936829792225
2009-12-31,0.009732034249877383,0.01419057719836296,0.010161743041743724,0.010431216977467411,0.008953175069318713,0.0079043811452435,0.009798648576922106
2010-03-31,0.013773901607441378,0.009112558641820968,0.007831639589890065,0.008720925061323255,0.009670232863466388,0.007859936205481106,0.008879434433312825
2010-06-30,0.011158190406243244,0.013611520010768893,0.010993032333809594,0.010872480661894515,0.01128264986872203,0.007787499352042203,0.011555000372175857
2010-09-30,0.00927282776588719,0.009853120338274606,0.008848152906450545,0.008659861573685779,0.009579785433102148,0.00774324603812567,0.008962496355889952
2010-12-31,0.009323828115547118,0.008820095686870975,0.007694683026626049,0.008022394889487323,0.008786987304245358,0.0077364327879928035,0.00834159472385137
2011-03-31,0.00798780662400536,0.009479986779103906,0.00853590962472664,0.008683962132317296,0.008668036763718327,0.007699969515779613,0.008817293017339672
2011-06-30,0.005907862323241211,0.009218918007297593,0.008138549194687053,0.007996522519683169,0.008003481864282048,0.007669330326243136,0.008051022277564325
2011-09-30,0.009154494394320905,0.0056648841466593524,0.006788844550921547,0.006170776093208311,0.006347529038286898,0.007646368814710804,0.006288111022512808
2011-12-30,0.00946570658130231,0.009568693778015109,0.007893926360102776,0.007752406817981875,0.00761505345011228,0.007588833393198088,0.0078799768711596
2012-03-30,0.007914519530257295,0.008183643963025015,0.0077936215752429,0.007911805174526625,0.007928804822896452,0.007534078650474215,0.00788928785111799
2012-06-29,0.0067359844094390135,0.007585654433375677,0.007435464197419498,0.007721140505870135,0.00791130290361548,0.0075420724989994845,0.007734654646928585
2012-09-28,0.0058540783889321595,0.005851642073098582,0.0061272462044781265,0.005716779100397297,0.005740595712319002,0.00745528176734191,0.0055739044216718756
2012-12-31,0.008770319624151948,0.006513984031026614,0.005463476481217229,0.006253086161880112,0.006396431351937643,0.007409408170628143,0.006079397718043043
2013-03-29,0.00856598653035041,0.008688245459780277,0.0076560588113324625,0.007513317896936711,0.006836175283699553,0.007335486930255754,0.0072757846473349985
2013-06-28,0.0056064406934378955,0.007647581009164386,0.006998617120293552,0.0074087320849411074,0.007525475193699542,0.00736455652282479,0.007246606294046769
2013-09-30,0.00801801598308186,0.005556755175321036,0.005547188073358293,0.005398888539123247,0.005622091584254718,0.007245741455759384,0.005250643613761565
2013-12-31,0.006792938978077082,0.006925787130283467,0.006363804422073985,0.006648747017274338,0.0065154622244356026,0.007223192914915538,0.006404263890555192
2014-03-31,0.01052754396616954,0.0061671585287942105,0.005958584256941569,0.006412738789082348,0.006257650493479034,0.007145492880791901,0.006037200402237994
2014-06-30,0.008427508348899309,0.010887380780715604,0.007978005535469374,0.008227355339266086,0.007959802931982472,0.007011596948887251,0.008162605007449529
2014-09-30,0.006657912607642605,0.0065509839526056626,0.006987458752338894,0.0071798785313787914,0.007412599697954479,0.006951865945383358,0.007156098340250587
2014-12-31,0.006869835739906794,0.005105288912364026,0.006083595016234842,0.0059204265056318674,0.006198720802846206,0.0069929012622658975,0.005918542841386244
2015-03-31,-0.00016592539285103914,0.006101981970584162,0.005669407523797783,0.005764401591459559,0.005729855800716769,0.006972423173081267,0.005509761020468944
2015-06-30,0.0010608587074924414,-0.00038297464873046725,0.002505793486419326,0.002697044830051112,0.0025742015384175856,0.006968206232429747,0.0020619809444436593
2015-09-30,0.005230740914864382,0.001222786978034478,0.003432283059055741,0.003454385862100328,0.002536658373626601,0.006953168230696906,0.0027239342144632387
2015-12-31,-0.000617824855067442,0.0048568379541067365,0.004908968835721012,0.005162587959151397,0.004102368447293711,0.00696863577065542,0.0043681567235777236
2016-03-31,0.0026618805884210724,7.554603869780376e-05,0.002217845190905534,0.0024022237710729305,0.001992803403221187,0.006924442308084262,0.001624057707690819
2016-06-30,0.007897154202549128,0.0021537391786137553,0.00359598686237939,0.003682708771651928,0.0027595180200575596,0.006917548417439102,0.002863987597926872
2016-09-30,0.00479155901882576,0.007785892703999231,0.006234270516550259,0.007017584015206298,0.006065633359783145,0.006832437556765394,0.00639780022907805
