Date,ARX,VAR,ESN_A,ESN_B,ESN_C,ESN_D,ESN_E
2007-12-31,0.006040729784057571,0.0073025480484538215,0.00686707936907441,0.0071716060339820165,0.007346599782916659,0.007447896126329382,0.0070383953552975885
2008-03-31,0.001675588290412992,0.006440142712374194,0.0066748093143930015,0.0066516552427265336,0.006862749606332156,0.006694714675885824,0.006447978421331192
2008-06-30,0.0004961103127769976,0.004556648959544881,0.0046713677790372445,0.004464780515135561,0.005185916399641071,0.004634260164059855,0.004117760402365186
2008-09-30,-0.018601891617103992,0.0021407845001316103,0.004506416347591804,0.004796171325714885,0.005090684113862908,0.004873232436275452,0.004523745424123276
2008-12-31,-0.013194716989102583,-0.012626750007019454,-2.6851442051433264e-05,-0.0011345938254585606,-0.002385174468901954,-0.001779374586222555,-0.001951815590017317
2009-03-31,-0.011672367316151474,-0.006588065626072829,0.0005362500371412946,0.0003297607913786693,-0.002046904344593174,-0.0004277104800890809,-0.0014023669031940581
2009-06-30,-0.00022363920499707783,-0.005642012272838808,5.4258346693683915e-05,0.0008897424967876533,-0.0005760605275899004,0.0005220007573650178,-0.000326393364271595
2009-09-30,0.014441598759170254,0.002914295219543288,0.004194273991131566,0.0053768120905732485,0.0031915378179025993,0.004294007668729814,0.00387604331353434
2009-12-31,0.00953710884581707,0.013722400064323027,0.01025241275900452,0.010756448665532457,0.009347313872210765,0.010497134647326925,0.010348370360227753
2010-03-31,0.013578971570021517,0.009013879526667103,0.007935783195632207,0.008582381663327627,0.009470373488310532,0.00909473664999926,0.008847976872558606
2010-06-30,0.010963261558667782,0.01322858742836223,0.011005446730723897,0.01102489801180534,0.011310405495946833,0.010981832549805923,0.011621458168763622
2010-09-30,0.009077898612760288,0.00995960569898856,0.009131287969846802,0.00890723882877834,0.009771464072833016,0.009143756626775957,0.009301973252176774
2010-12-31,0.009128899040885673,0.008972702730601922,0.00795585120431897,0.008282136554083084,0.008991004181362392,0.008961435718957416,0.008666395532027466
2011-03-31,0.007792877529194024,0.009565726677496611,0.008814801611797408,0.008945345847826679,0.008902837253560822,0.008783914536769537,0.008985778032762572
2011-06-30,0.005712933233604356,0.009590339095929752,0.008494177844972643,0.008292754026968593,0.00825592698349352,0.007859119600548433,0.008218150550379976
2011-09-30,0.008959565303355245,0.006272878970140194,0.007380044275776743,0.006774948759257038,0.0068990758368246315,0.006665684624747698,0.006768209800833515
2011-12-30,0.009270777490677886,0.010025461060258908,0.008353629411730212,0.00825434157791332,0.00807691597981193,0.008563964381854703,0.00838848045509194
2012-03-30,0.007719590439545243,0.008526592118415667,0.00832566220312377,0.008438917706643324,0.008432766139314218,0.008620585956199607,0.008468148533787532
2012-06-29,0.006541055318749464,0.007923027372552155,0.007907566603062684,0.008120381877589091,0.008273091054001942,0.008081892130279206,0.008081858769559164
2012-09-28,0.0056591492982368315,0.006849870507080251,0.007045552993652044,0.006809030022533545,0.00679641191396088,0.006771845224536171,0.006684902551143735
2012-12-31,0.008575390533458103,0.007186596830491351,0.006164469992709964,0.00683782160392871,0.006964008539057497,0.007339372513726194,0.006711975773081635
2013-03-29,0.008371057439656186,0.009434339290642316,0.008427338296985507,0.008469505227261268,0.00773045145251243,0.008041244283671116,0.00813630979206232
2013-06-28,0.005411511602743768,0.008191024766847433,0.007635398908490922,0.007971565446517956,0.008069625374129238,0.008205291264923984,0.007885750556586883
2013-09-30,0.007823086892387709,0.006706798869660297,0.0065285949864707545,0.006465972802863889,0.006611789831735721,0.006548628877905277,0.006289294636245015
2013-12-31,0.006598009887382936,0.007734852412189838,0.007215173239778733,0.007603582824999398,0.00744492528631304,0.007965831944201727,0.00747706485722988
2014-03-31,0.010332614875475394,0.0069664232073033145,0.006851791933504882,0.007320488084008563,0.007152836587660078,0.007339086569499566,0.006976978677898116
2014-06-30,0.008232579258205162,0.01168800794751822,0.008840960831918276,0.00921934246241617,0.008860960695576348,0.009259810106979304,0.009154167019549034
2014-09-30,0.0064629835169484565,0.007479462856686213,0.00794983162117465,0.008103104158021738,0.00830220573801739,0.008102867402182565,0.0080627390173961
2014-12-31,0.006674906649212647,0.006079770970870826,0.007092544031465548,0.007005855279579767,0.007216730277483755,0.0071105187661255126,0.006961063599854448
2015-03-31,-0.0003608544835451864,0.007221618098561851,0.0067610183451744105,0.006945565638410334,0.006887655442025934,0.007271025442601456,0.006784585632270468
2015-06-30,0.0008659296167982944,0.0009683807547687462,0.003811757341414826,0.0039632635872041645,0.0038618691971477517,0.0038912850076236382,0.003342012772801338
2015-09-30,0.005035811824170235,0.002380819868551964,0.0046319654137562775,0.004775870851207091,0.0038023641886784634,0.00447068283586067,0.00393278510150306
2015-12-31,-0.0008127539457615891,0.006093310375462482,0.0060833054385494995,0.006431999743199602,0.00526931250520804,0.006225394832908737,0.005623363659324249
2016-03-31,0.002466951497726926,0.001536215441115014,0.0036317114078362536,0.003751311134395886,0.0032681342322170336,0.0035726508049065374,0.002951565913110514
2016-06-30,0.007702225111854982,0.003507825694201813,0.004888897450434788,0.005180684131253183,0.004104025148669839,0.005035728350462987,0.004302778520778939
2016-09-30,0.004596629928131613,0.008572737982609855,0.00717958298742713,0.007996149667996093,0.006926293920427548,0.007938155422621555,0.007356466576644218
2016-12-30,0.0066308481808804,0.005343329254442298,0.006206211505664973,0.006245220610257051,0.005940361662258278,0.005882492767398657,0.005678272174360311
2017-03-31,0.005902563961060039,0.007320681767505764,0.006931044651925868,0.00731767822951303,0.0070207173158265,0.007461306354665672,0.00705342017667802
