"Date","GDP","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20"
1959-03-31,NA,NA,NA,NA,NA,7.40724210946793,NA,NA,NA,NA,NA,NA,NA,1.56,2.3,0.733333333333333,0.203333333333333,1.42,NA,NA,1.21666666666667
1959-06-30,0.0223011654137224,0.0123906777335831,0.763900000000002,-0.2,0.00416769726272766,7.33286461634814,0.00402472353563551,0.00582781607348141,0.00454840158004011,NA,-0.00100250702131828,NA,0.196666666666667,1.27,1.87,0.52,-0.0833333333333333,1.17333333333333,0.153333333333333,0.116666666666667,1.25666666666667
1959-09-30,0.000705354590390783,-0.0199708060399377,-1.90656666666667,0.166666666666667,-0.00157472276237473,7.31634675641156,0.00419830189394466,-0.00237432324654977,-0.0336372799170418,NA,0.00501861986004304,NA,0.123333333333333,0.896666666666667,1.54,0.616666666666667,-0.0366666666666667,0.926666666666667,0.31,0.113333333333333,0.963333333333333
1959-12-31,0.00284484015535824,0.0195893444657466,1.50643333333333,-0.0666666666666667,0.00462204514617959,7.28184390685473,-0.00279918967392649,-0.00801990290966614,0.0165715598605226,NA,-0.00401611283872475,NA,0.0766666666666668,0.58,1.28333333333333,0.77,0.24,0.593333333333333,0.0466666666666666,0.00333333333333356,0.353333333333333
1960-03-31,0.0222282545720347,0.00265412277069199,-0.108700000000004,0.0333333333333335,0.0017184066730079,7.20420803060191,0.00705464467015826,0.00973332381413883,-0.0178341052420604,NA,0.00300753919987902,NA,-0.0500000000000001,0.62,1.37666666666667,0.753333333333333,-0.06,0.553333333333333,-0.373333333333333,-0.146666666666667,0.613333333333333
1960-06-30,-0.0054053160473746,-0.00725175988578908,-1.00616666666666,0,-0.000649498070114755,7.14589240660289,-0.00173597227418965,0.0031640886766624,0.00673598050607123,NA,-0.00300753919987902,NA,-0.173333333333333,0.756666666666667,1.55,0.376666666666667,-0.703333333333333,0.563333333333333,-0.22,-0.0333333333333332,1.26666666666667
1960-09-30,0.00488227507408112,-0.00505315241497565,-0.768300000000001,0.0333333333333332,-0.000742958324308892,7.09710456230543,0.00193639681583517,-0.00253986876458908,0.00580535456507055,NA,0,NA,-0.24,1.37666666666667,2.16666666666667,0.436666666666667,-0.576666666666667,0.896666666666667,-0.0966666666666667,-0.116666666666667,1.47333333333333
1960-12-30,-0.0129171009945033,-0.0115571280995816,-1.221,0.366666666666667,-0.00299470688934574,7.07474592567891,-0.00366304052519843,-0.00431995417845836,-0.0205089625757087,NA,-0.000990590129719138,NA,-0.206666666666667,2.02333333333333,2.8,0.973333333333333,0.01,1.59,-0.07,0.0133333333333333,1.58
1961-03-31,0.00672637255222774,0.00202161844364375,-0.13066666666667,0.1,-0.00051520325088994,7.12220964999286,0.00616727136820749,0.00257287179991235,-0.0101832368782032,NA,0,NA,0.0133333333333333,2.26666666666667,3.06,1.01,0.346666666666667,1.78333333333333,0.00666666666666667,-0.0333333333333332,1.43666666666667
1961-06-30,0.0168318883198744,0.0165122933375734,1.15346666666667,0,0.0019696069792315,7.13525449331505,0.00298761966181601,0.00149019209883861,0.0309231633828529,NA,0.000990590129719138,NA,-0.0966666666666667,2.55,3.28333333333333,1.12666666666667,0.57,2.05666666666667,0.0600000000000001,0.0466666666666666,1.48666666666667
1961-09-29,0.0190139536230909,0.00645797863588256,0.277366666666666,-0.0666666666666667,0.00252850379576763,7.21357490608942,0.00203633879107142,0.00397785917661745,0.00859875078965781,NA,-0.00099950099875216,NA,0.05,2.75333333333333,3.42333333333333,1.21333333333333,0.62,2.29666666666667,0,0.0333333333333334,1.67666666666667
1961-12-29,0.0194211630106746,0.0143591653202647,1.1493,-0.233333333333333,0.00295321963452662,7.23574997877261,0.00760569596386329,0.00841795568999496,0.0244454106960497,NA,0.00099950099875216,NA,0.15,2.01,2.71333333333333,0.656666666666667,0.06,1.57333333333333,0.04,0.0266666666666665,1.51333333333333
1962-03-30,0.0176792845065208,0.00429638110131088,0.0956999999999984,-0.133333333333333,0.00243917551549681,7.21450206545427,0.00270440426658958,0.00845209165492319,-0.00925128763121682,NA,-0.000993542712712643,NA,0.173333333333333,1.95333333333333,2.60666666666667,0.786666666666667,0.266666666666667,1.56,-0.04,-0.0433333333333331,1.29333333333333
1962-06-29,0.00899605213948185,-0.000355704546063595,-0.320699999999997,-0.0333333333333332,0.00221784281793802,7.29266555432343,0.00201400080785744,-0.000241495838316415,-0.00514027502449051,NA,0.000993542712712643,NA,-0.0566666666666666,1.69,2.40666666666667,0.596666666666667,0.11,1.26666666666667,-0.0100000000000001,-0.00666666666666667,1.15666666666667
1962-09-28,0.0122102806662756,0.00564881155974032,0.28613333333333,0.0333333333333332,0.00199483373546094,7.26407385042004,0.00573392048990865,0.00829946668052569,0.0174379702291786,NA,0.00297178788598407,NA,0.0733333333333333,1.49,2.2,0.486666666666667,-0.00666666666666667,1.14333333333333,0.0100000000000001,0.0233333333333333,1.15
1962-12-31,0.00328361877904015,0.00174628410065954,-0.0361333333333297,-0.0333333333333332,0.000297603124364443,7.36046634488414,0.0046070172561287,0.00686347755806279,0.0145395184521456,NA,-0.00396533059869671,NA,0.0100000000000001,1.33333333333333,2.03333333333333,0.34,-0.11,0.98,-0.0166666666666668,-0.04,1.09
