"Date","GDP","CPI","UnE","Ex","HHC","RPIF","CPA"
"1997 Q1",NA,NA,NA,NA,NA,NA,NA
"1997 Q2",0.010987597783787,NA,NA,2.3002,NA,NA,-0.117783035656384
"1997 Q3",0.00924901756734009,0.224503170830249,-0.0433650917076127,2.2919,-0.000906921452052956,-0.0277893037954113,0.559615787935423
"1997 Q4",0.0146459270272352,-0.181943556411453,0.0120379785594789,1.2111,-0.00998797390982631,0.0639829577614961,-0.336472236621213
"1998 Q1",0.00723394507696007,-0.0631789016215317,0.0296162487445046,2.1186,-0.0500612867685764,-0.130137636956871,-0.22314355131421
"1998 Q2",0.00635347486335291,0.259511195485085,-0.000244170432174284,-0.112899999999996,0.0610823101155358,0.106137534231098,0.559615787935423
"1998 Q3",0.00325964289358716,-0.267879445155601,-0.00025198437830154,-0.343600000000009,0.00391243003951658,-0.0620813081156868,0
"1998 Q4",0.00661122353137245,0.162518929497775,-0.000260179525339632,-2.97489999999999,-0.0213313909337938,0.0870943745425774,0
"1999 Q1",0.00690485924291018,0.162518929497775,0.0325210417435611,0.0889999999999986,-0.0403507460924377,-0.128629571660222,0.133531392624523
"1999 Q2",0.00473291005645393,-0.267879445155601,-0.0490503436947716,1.9066,0.0636128019994331,0.0787995481707093,0
"1999 Q3",0.0158716089503095,-0.0124225199985572,0.0159827045066099,-0.3874,-0.0147710770697067,-0.0272195532717325,0.22314355131421
"1999 Q4",0.0142268777447718,0.0532445145188122,-0.000287315042919012,1.8663,-0.00354578228241031,0.0858398253578616,0.0953101798043252
"2000 Q1",0.0122494162654885,-0.245616407166268,0.0170944333593002,1.66600000000001,-0.0468727944776983,-0.16396891537347,-0.606135803570316
"2000 Q2",0.00733517227874714,0.214844748499515,-0.0531098253139484,-1.22120000000001,0.0621866801570281,0.125837103315571,0
"2000 Q3",0.00640946421724387,0.27763173659828,0.0160685536335992,-1.64519999999999,-0.00342742498025217,-0.0531680501402714,0.154150679827258
"2000 Q4",0.00641016840765829,-0.0281708769666963,0.0179930767096548,0.800599999999989,-0.0130417691487779,0.103130904830378,0.0689928714869517
"2001 Q1",0.00885879356483166,-0.22825865198098,-0.000369890886407154,-2.0021,-0.0477639408611719,-0.178103082991811,0.125163142954006
"2001 Q2",0.00440616608845268,0.39953037258835,-0.000384541439078179,1.0917,0.0586317374167535,0.153344269348819,-0.268263986594679
"2001 Q3",0.00530553684963486,-0.325422400434628,0.0396052545923595,0.0320999999999998,0.00507226516627846,-0.081249447597656,0.143100843640673
"2001 Q4",0.00325542159127856,-0.251314428280906,-0.000384541439078179,0.371899999999997,-0.0202694447681822,0.107501684946601,0.182321556793954
"2002 Q1",0.00259911194206808,0.445470442721864,-0.0194180858571016,0.548100000000005,-0.045736192859378,-0.177876894189332,-0.405465108108164
"2002 Q2",0.00488159034645719,-0.462420001035637,0,-0.951800000000006,0.0671054155298965,0.124272953349648,0.0800427076735364
"2002 Q3",0.00670914985956195,0.268263986594679,0.0190481949706944,1.26570000000001,-0.00884444599732781,-0.0482739228399218,0.268263986594679
"2002 Q4",0.00774515401401388,0.207639364778245,-0.0575144757984904,0.505200000000002,-0.00405683299212001,0.0936684980082152,-0.194156014440958
"2003 Q1",0.00723775722141085,-0.272177885915816,0.0578843666848976,-2.60810000000001,-0.0536315507804339,-0.172026481084242,-0.441832752279039
"2003 Q2",0.00925302529055827,-0.0785623225031021,-0.0788415063279022,-2.5719,0.0743385980491738,0.136962618062851,0.287682072451781
"2003 Q3",0.00886735431016383,0.217208815794395,0.0796261277883199,-0.242900000000006,-0.014600445753711,-0.0582706057561602,0.0800427076735364
"2003 Q4",0.00786034412090864,-0.148215944307444,-0.0404054146350386,1.7261,-0.00773389489464726,0.0870819272298551,-0.167054084663166
"2004 Q1",0.00379447987794812,0.0741079721537218,-0.000416579885216484,4.3155,-0.056280139567944,-0.15781053358522,-0.200670695462151
"2004 Q2",0.00581830606120626,0,0.0206192872027358,0.710499999999996,0.0778604988001934,0.126991453460247,0.105360515657826
"2004 Q3",0.00386312342309836,0,-0.0210534091978323,-0.224099999999993,-0.01486323920731,-0.0606847785039584,0.470003629245735
"2004 Q4",0.0051033066295485,0.143100843640673,0.0210534091978323,-1.8081,-0.00338570295482654,0.0947115675573329,-0.133531392624523
"2005 Q1",0.00734315125578533,0.0392207131532814,0,0.38539999999999,-0.0549934218348351,-0.164225951442024,-0.154150679827258
"2005 Q2",0.00828015321746101,-0.128254335523679,0.0210534091978323,0.903100000000009,0.0608236710409535,0.122491131664409,0.154150679827258
"2005 Q3",0.00778937465669038,0.17954762991123,-0.0421068183956645,-1.86280000000001,-0.00207037258226705,-0.0541714780757339,-0.0741079721537217
"2005 Q4",0.00931598624318042,-0.320626228171135,0.102731440212099,-0.19619999999999,-0.00280977793342529,0.106575055583303,-0.0800427076735364
"2006 Q1",0.00511952910268754,0.0404913613547366,-0.0622599451571655,-0.747200000000007,-0.0579914277422073,-0.199549708876672,0
"2006 Q2",0.00387202548840726,0.180051408259415,0.0366713807939421,1.4217,0.063358280182177,0.168956319218324,-0.0870113769896297
"2006 Q3",0.00268559858534978,-0.0927093981042673,-0.0560894666510436,2.1056,-0.00682386831437398,-0.0621883437926183,0
"2006 Q4",0.00519756753646838,0.0361390466158731,0,1.41120000000001,-0.00589494335354601,0.0899482366629396,0
"2007 Q1",0.00935882229750185,-0.0405933969652537,0,1.008,-0.0540100248409363,-0.190243941851304,0.167054084663166
